time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-06T01:51:33.680Z,32.9605,-100.8763,5,2.7,mb_lg,,38,0.535,1.25,us,us10008pzn,2017-05-06T02:01:44.040Z,"27km N of Snyder, Texas",earthquake,3.3,2,0.074,47,reviewed,us,us
2017-05-06T01:45:41.850Z,42.5497,138.9977,224.5,4.3,mb,,70,2.343,0.5,us,us10008pzm,2017-05-06T02:10:11.040Z,"132km WSW of Iwanai, Japan",earthquake,8.8,10.1,0.105,26,reviewed,us,us
2017-05-06T00:41:57.720Z,-26.9079,-73.2754,15.9,4.2,mb,,206,2.342,1.95,us,us10008pza,2017-05-06T01:35:09.040Z,"296km W of Copiapo, Chile",earthquake,10.3,5.7,0.263,4,reviewed,us,us
2017-05-06T00:41:11.420Z,-21.1584,-68.9827,122.32,4.1,mb,,47,0.485,0.45,us,us10008pz9,2017-05-06T01:17:25.040Z,"144km N of Calama, Chile",earthquake,5.2,8.7,0.234,5,reviewed,us,us
2017-05-06T00:21:03.190Z,22.834,-44.9609,10,4.9,mb,,142,19.121,1.32,us,us10008pze,2017-05-06T01:06:39.040Z,"Northern Mid-Atlantic Ridge",earthquake,13.1,1.9,0.047,139,reviewed,us,us
2017-05-06T00:16:09.340Z,-60.7984,-37.9583,10,5.8,mww,,28,3.325,0.86,us,us10008pz3,2017-05-06T02:17:43.278Z,"Scotia Sea",earthquake,7.8,1.7,,,reviewed,us,us
2017-05-06T00:06:42.544Z,59.8306,-136.8147,0,2.7,ml,,,,0.84,ak,ak15930047,2017-05-06T00:11:11.709Z,"94km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-05T23:01:54.240Z,18.6936,-67.4451,9,3.03,md,17,204,0.311,0.24,pr,pr2017125004,2017-05-06T23:18:28.529Z,"42km NW of Aguadilla, Puerto Rico",earthquake,0.73,0.58,0.35,13,reviewed,pr,pr
2017-05-05T22:47:54.210Z,59.8012,-136.6515,1.18,3.6,ml,,88,0.576,0.81,us,us10008pye,2017-05-06T06:50:24.799Z,"84km WNW of Skagway, Alaska",earthquake,1.5,7.3,0.046,61,reviewed,us,us
2017-05-05T22:10:04.120Z,19.8673,101.5248,16.02,4.5,mb,,59,1.14,0.74,us,us10008pxv,2017-05-05T22:26:52.040Z,"56km NE of Chaloem Phra Kiat, Thailand",earthquake,4.1,4.2,0.097,31,reviewed,us,us
2017-05-05T21:33:41.750Z,-4.4044,102.2971,63.91,4.6,mb,,83,0.658,0.86,us,us10008pxb,2017-05-05T21:52:32.040Z,"66km S of Bengkulu, Indonesia",earthquake,8.1,7.1,0.071,59,reviewed,us,us
2017-05-05T20:26:05.660Z,51.7586,-178.5758,3.78,3.1,ml,,182,0.888,0.66,us,us10008px8,2017-05-06T17:42:11.040Z,"33km WSW of Tanaga Volcano, Alaska",earthquake,12.3,5.4,,,reviewed,us,ak
